2166.85603 15.617 0.007
2189.86169 15.404 0.007
2192.76512 15.366 0.006
2201.77532 15.300 0.006
2212.80960 15.617 0.007
2217.79400 15.387 0.007
2223.81457 15.357 0.007
2226.78894 15.317 0.007
2228.83237 15.704 0.008
2230.74579 15.484 0.007
2232.76604 15.248 0.006
2234.75998 15.652 0.007
2238.71065 15.238 0.006
2240.83957 15.619 0.007
2242.84532 15.441 0.007
2248.72657 15.360 0.006
2251.75620 15.351 0.006
2253.77380 15.688 0.007
2255.70212 15.519 0.007
2258.70157 15.494 0.007
2264.81019 15.475 0.006
2269.78308 15.259 0.006
2271.73138 15.602 0.007
2279.79480 15.366 0.006
2293.72615 15.652 0.008
2303.67136 15.633 0.008
2323.57307 15.416 0.007
2326.58006 15.389 0.007
2338.54603 15.289 0.007
2355.51150 15.572 0.008
2387.50181 15.687 0.009
2524.86659 15.244 0.007
2544.89157 15.520 0.008
2551.88179 15.656 0.007
2559.81971 15.396 0.007
2563.86494 15.579 0.008
2577.85446 15.263 0.007
2583.75090 15.338 0.007
2589.79143 15.553 0.007
2599.86307 15.314 0.007
2609.66930 15.419 0.007
2611.67318 15.421 0.007
2617.81982 15.519 0.007
2620.78884 15.649 0.007
2623.76207 15.712 0.008
2626.68715 15.682 0.007
2627.62896 15.261 0.007
2628.85428 15.533 0.008
2630.84300 15.298 0.007
2632.63371 15.643 0.007
2635.62855 15.620 0.007
2637.76871 15.452 0.007
2639.78496 15.273 0.006
2641.65923 15.590 0.007
2643.67113 15.381 0.007
2645.66274 15.666 0.007
2651.65775 15.693 0.008
2653.68248 15.526 0.008
2655.66680 15.284 0.007
2657.80052 15.691 0.008
2659.66856 15.466 0.007
2661.69244 15.230 0.006
2665.79432 15.451 0.007
2671.80025 15.409 0.007
2675.73071 15.565 0.007
2677.76561 15.367 0.007
2679.75614 15.697 0.008
2686.60786 15.235 0.007
2691.53462 15.606 0.008
2695.59196 15.461 0.007
2700.54296 15.568 0.007
2713.52806 15.658 0.008
2841.93229 15.242 0.007
2868.89484 15.627 0.008
2890.83797 15.662 0.008
2895.87369 15.440 0.007
2900.82936 15.424 0.007
2906.86035 15.643 0.007
2910.89370 15.341 0.006
2915.89384 15.695 0.008
2922.77399 15.242 0.007
2925.86239 15.262 0.007
2930.77496 15.574 0.007
2933.81939 15.568 0.007
2939.82779 15.535 0.007
2941.84585 15.312 0.006
2943.72065 15.660 0.007
2946.82369 15.670 0.007
2948.81400 15.471 0.007
2952.81004 15.621 0.007
2956.65345 15.594 0.007
2958.68024 15.573 0.007
2962.69116 15.684 0.007
2965.70820 15.702 0.007
2970.77316 15.501 0.007
2974.71272 15.656 0.007
2976.74657 15.458 0.007
2978.64111 15.345 0.007
2980.66754 15.604 0.007
2982.62670 15.393 0.007
2984.66783 15.581 0.007
2986.75567 15.582 0.007
2988.72364 15.369 0.007
2990.65706 15.704 0.007
2992.74668 15.549 0.007
2994.65446 15.298 0.006
2996.74478 15.702 0.007
2999.79153 15.690 0.007
3001.67025 15.474 0.007
3003.66591 15.237 0.006
3005.62290 15.623 0.007
3011.62277 15.587 0.008
3013.65343 15.376 0.007
3017.62873 15.552 0.007
3018.72056 15.684 0.007
3033.70778 15.635 0.007
3038.69244 15.411 0.007
3040.69207 15.519 0.007
3044.56952 15.345 0.007
3046.58501 15.707 0.007
3048.56996 15.529 0.007
3050.58882 15.295 0.006
3052.58585 15.672 0.007
3054.58670 15.497 0.007
3056.58389 15.235 0.006
3058.57764 15.649 0.007
3060.59812 15.452 0.007
3067.65963 15.587 0.007
3073.53451 15.554 0.008
3078.54370 15.296 0.007
3082.53269 15.479 0.007
3084.60863 15.240 0.006
3087.57091 15.267 0.006
3090.52586 15.412 0.007
3093.50719 15.563 0.008
3098.61612 15.575 0.007
3104.54703 15.532 0.007
3114.51449 15.635 0.007
3115.53883 15.265 0.007
3126.47895 15.557 0.007
3144.49424 15.439 0.007
3224.89441 15.342 0.007
3256.87762 15.515 0.007
3263.85244 15.646 0.007
