2	1.432	3.11802	0.7795	3.66453765612647e9
23	0.69	1.70182	0.42546	3.27910063367074e9
27	0.632	3.52286	0.88072	2.56007932074767e9
35	0.562	6.94423	1.73606	6.6730572626092e8
40	0.748	5.16512	1.29128	2.55829328816861e9
46	1.25	8.84315	2.21079	4.318027237180735e10
57	0.713	10.30694	2.57673	3.96238607144756e9
63	0.04	0.0	0.0	0.0
67	0.709	3.48528	0.87132	2.85085478109728e9
76	0.408	5.14775	1.28694	2.4643129926221e8
79	0.727	0.955	0.23875	1.44821459009667e9
91	0.795	3.59899	0.89975	2.88192238262059e9
103	0.735	7.15753	1.78938	3.41218301463797e9
107	0.576	8.73879	2.1847	3.65374328139644e9
114	0.582	10.37242	2.5931	3.86225918393446e9
122	0.693	1.29301	0.32325	2.8704811553746e9
131	0.697	2.86964	0.71741	3.1896848882961e9
139	0.597	9.77319	2.4433	4.38635324358929e9
147	0.008	0.0	0.0	0.0
151	0.591	9.36273	2.34068	3.7245604603423e9
155	0.614	9.85032	2.46258	4.13569749021439e9
162	0.592	5.0243	1.25608	3.1895456309195e9
165	0.565	3.22775	0.80694	2.90009560038241e9
168	0.595	1.75435	0.43859	2.52828601734451e9
173	0.844	3.07273	0.76818	3.31527002459126e9
177	0.556	4.27675	1.06919	3.44921039206182e9
2	1.169	3.11802	0.7795	3.66453765612647e9
17	0.367	3.67728	0.91932	9.367750513455e7
25	0.699	3.73371	0.93343	3.0888570963173e9
33	0.701	7.18088	1.79522	3.48744332254199e9
39	0.64	3.14783	0.78696	2.69225334997776e9
45	0.552	1.86691	0.46673	2.66817955743645e9
49	0.626	3.8492	0.9623	4.54654270626636e9
57	0.638	10.30694	2.57673	3.96238607144756e9
63	0.054	0.0	0.0	0.0
67	0.574	3.48528	0.87132	2.85085478109728e9
76	0.372	5.14775	1.28694	2.4643129926221e8
78	0.649	7.38266	1.84566	3.26551058621045e9
91	0.675	3.59899	0.89975	2.88192238262059e9
103	0.672	7.15753	1.78938	3.41218301463797e9
107	0.572	8.73879	2.1847	3.65374328139644e9
114	0.532	10.37242	2.5931	3.86225918393446e9
123	0.526	6.88758	1.7219	3.44343101439274e9
130	1.0	3.41211	0.85303	1.856167527855204e10
140	0.581	2.42021	0.60505	2.95202321811847e9
154	0.557	4.16489	1.04122	3.49410066056374e9
159	0.664	5.46417	1.36604	3.5238708317024e9
165	0.54	3.22775	0.80694	2.90009560038241e9
168	0.532	1.75435	0.43859	2.52828601734451e9
171	0.7	3.41195	0.85299	2.39475159779952e9
176	0.528	2.75683	0.68921	2.73546850872436e9
