2.0 1.149 3.118 0.7795 3.66373763912905e9
5.0 1.13 5.6124 1.4031 3.42643125799062e9
12.0 1.1 2.6602 0.66505 2.63761804173686e9
16.0 1.088 10.5059 2.62648 9.3905671259382e8
17.0 0.203 3.6773 0.91932 9.367211866669e7
18.0 0.289 4.0482 1.01205 6.9902223680779e8
21.0 0.3 5.458 1.3645 3.03719417642221e9
23.0 0.272 1.7018 0.42545 3.27117352853953e9
25.0 0.366 3.7337 0.93342 3.08877848811871e9
26.0 0.307 2.5708 0.6427 2.25629378406379e9
27.0 0.128 3.5229 0.88072 2.55913293619003e9
28.0 0.333 4.7406 1.18515 1.06007776062029e9
33.0 0.308 7.1809 1.79522 3.4874305674589e9
34.0 0.275 11.2555 2.81388 2.92514030268851e9
35.0 0.256 6.9442 1.73605 6.6729752481966e8
37.0 0.284 3.0409 0.76022 2.5357112541852e8
39.0 0.307 1.4597 0.36492 1.56565272042595e9
40.0 0.357 1.2359 0.30898 1.73575163199371e9
41.0 0.321 2.9107 0.72768 3.71195106281767e9
42.0 0.299 2.577 0.64425 2.35091427329345e9
44.0 0.283 4.0813 1.02033 2.9048806718156e8
45.0 0.121 2.1408 0.5352 1.4771609551399e9
46.0 0.417 8.8431 2.21078 4.317961299338088e10
48.0 0.325 5.5486 1.38715 2.64251528741355e9
49.0 0.326 3.8492 0.9623 4.54654270626636e9
50.0 0.104 7.8454 1.96135 3.37813017592132e9
53.0 0.192 2.6338 0.65845 1.563760117541e8
55.0 0.335 2.8618 0.71545 3.21843665289106e9
56.0 0.283 1.3698 0.34245 1.75897776017834e9
57.0 0.273 10.3069 2.57673 3.96235958384069e9
58.0 0.16 4.3677 1.09192 4.9383238528174e8
59.0 0.278 4.39 1.0975 3.18385908567762e9
60.0 0.298 1.4101 0.35252 7.0577621844582e8
63.0 0.058 0.0 0.0 0.0
64.0 0.154 3.2292 0.8073 2.4580970496347e9
67.0 0.104 3.5192 0.8798 4.8791624982049e8
68.0 0.003 0.0 0.0 0.0
70.0 0.293 13.745 3.43625 4.16627089730698e9
72.0 0.319 1.7398 0.43495 1.67069260942044e9
75.0 0.116 3.4187 0.85468 2.04449607095117e9
76.0 0.227 5.1477 1.28693 2.4641072521105e8
78.0 0.109 7.3827 1.84568 3.26544983345501e9
79.0 0.241 22.5392 5.6348 2.55359212987328e9
87.0 0.129 3.5903 0.89758 2.35566560468401e9
89.0 0.244 4.6936 1.1734 2.28278975579845e9
90.0 0.251 4.0 1.0 2.79479138562505e9
91.0 0.301 3.599 0.89975 2.88186546389104e9
94.0 0.091 3.2412 0.8103 4.5987780662223e8
95.0 0.268 3.5808 0.8952 6.702519648852e7
100.0 0.236 3.2095 0.80238 3.0722600929469e9
101.0 0.157 8.1907 2.04768 1.89488111903953e9
103.0 0.313 7.1575 1.78938 3.41213857598738e9
104.0 0.098 3.1095 0.77738 3.02033235725996e9
105.0 0.245 4.7403 1.18508 6.8431415141382e8
106.0 0.102 3.2675 0.81688 2.74484275451918e9
107.0 0.106 8.7388 2.1847 3.65374131633025e9
108.0 0.295 3.7475 0.93688 3.69731161333006e9
109.0 0.391 1.533 0.38325 2.111164314980707e10
111.0 0.139 1.6128 0.4032 2.61581377506086e9
114.0 0.269 10.3724 2.5931 3.86225136612472e9
116.0 0.118 3.4475 0.86188 2.5047977939137e8
122.0 0.276 4.36 1.09 1.84784515970575e9
123.0 0.134 6.8876 1.7219 3.44341128211609e9
126.0 0.291 7.6995 1.92488 1.86093315586117e9
128.0 0.318 3.8456 0.9614 2.49730028560569e9
130.0 0.415 3.4121 0.85302 1.856087944751338e10
131.0 0.146 2.8696 0.7174 3.18718115397723e9
132.0 0.321 3.0611 0.76528 1.890535236733576e10
137.0 0.003 0.0 0.0 0.0
138.0 0.1 2.3754 0.59385 2.90372457694297e9
139.0 0.101 9.7732 2.4433 4.38635290105133e9
140.0 0.138 2.4202 0.60505 2.95163939994346e9
142.0 0.131 3.7721 0.94302 3.36692570313994e9
147.0 0.037 0.0 0.0 0.0
149.0 0.218 3.0791 0.76978 2.77459184596846e9
151.0 0.159 9.3627 2.34068 3.72454851731292e9
152.0 0.1 3.7318 0.93295 3.8393075986126e8
154.0 0.252 4.118 1.0295 3.1422653111485e8
155.0 0.106 9.8503 2.46258 4.13569009355955e9
158.0 0.118 7.2301 1.80753 3.64634162244042e9
159.0 0.114 5.4642 1.36605 3.52367353983046e9
160.0 0.117 3.2011 0.80028 2.42700265330072e9
161.0 0.11 17.5089 4.37722 5.666485009054e7
162.0 0.139 5.0243 1.25608 3.1895456309195e9
163.0 0.264 3.4416 0.8604 3.6210447574582e8
164.0 0.419 2.7806 0.69515 4.315280889251877e10
165.0 0.136 3.2278 0.80695 2.8977014408583e9
166.0 0.141 1.46 0.365 1.55850150983137e9
167.0 0.139 12.5112 3.1278 4.13291001032755e9
168.0 0.321 2.3256 0.5814 1.22919236130265e9
169.0 0.341 5.7766 1.44415 3.02669775329492e9
170.0 0.095 3.9894 0.99735 2.77195956004993e9
171.0 0.372 3.412 0.853 2.39320547951307e9
172.0 0.269 1.6595 0.41488 2.362639140942e8
173.0 0.408 3.099 0.77475 4.0270650652939e8
174.0 0.22 15.8604 3.9651 4.04835438124933e9
175.0 0.177 2.9795 0.74488 3.4646494929374e8
176.0 0.135 2.7779 0.69448 3.8901612322467e8
177.0 0.122 4.2767 1.06918 3.44836851397263e9
179.0 0.12 4.2018 1.05045 1.5616751752079e8
180.0 0.135 25.8731 6.46828 1.42754839850775e9
181.0 0.133 1.3646 0.34115 2.28390125210793e9
186.0 0.108 5.3791 1.34478 3.4571778679376e9
188.0 0.707 4.7498 1.18745 5.027079832998e7
189.0 0.525 5.9202 1.48005 2.31813821306988e9
191.0 0.129 2.4602 0.61505 1.3631091695297e8
194.0 0.235 1.4661 0.36652 1.52396688305205e9
196.0 0.729 1.7615 0.44038 1.65640281478774e9
197.0 0.443 2.6181 0.65452 2.65054658203857e9
198.0 0.546 23.1466 5.78665 9.79619396059e6
199.0 0.333 4.2994 1.07485 3.16573084515667e9
201.0 0.393 2.5706 0.64265 8.51630396467574e9
205.0 0.108 4.113 1.02825 4.682119991497e7
206.0 0.157 1.4343 0.35858 1.84725160404796e9
209.0 0.184 3.1226 0.78065 1.09476098869e6
